month,district,sentiment_score,review_count,sentiment_score_normalized
2018-07,Kandy,0.6071428571428571,28,80.35714285714286
2018-07,Matale,0.5,10,75.0
2018-07,Nuwara Eliya,0.7567567567567568,37,87.83783783783784
2018-07,Other,0.6666666666666666,48,83.33333333333333
2018-07,Polonnaruwa,0.8421052631578947,57,92.10526315789474
2018-07,Trincomalee,0.5277777777777778,36,76.38888888888889
2018-08,Ampara,1.0,4,100.0
2018-08,Anuradhapura,0.8,15,90.0
2018-08,Badulla,0.8333333333333334,24,91.66666666666667
2018-08,Colombo,0.7307692307692307,26,86.53846153846155
2018-08,Galle,0.4318181818181818,44,71.5909090909091
2018-08,Gampaha,-0.2,20,40.0
2018-08,Jaffna,0.8333333333333334,12,91.66666666666667
2018-08,Kalutara,0.5714285714285714,7,78.57142857142857
2018-08,Kandy,0.5172413793103449,29,75.86206896551724
2018-08,Matale,0.8461538461538461,13,92.3076923076923
2018-08,Nuwara Eliya,0.5555555555555556,45,77.77777777777779
2018-08,Other,0.6557377049180327,61,82.78688524590163
2018-08,Polonnaruwa,0.8166666666666667,60,90.83333333333333
2018-08,Trincomalee,0.3333333333333333,33,66.66666666666666
